User,ScannerTotal(Scanner),Black & WhiteTotal(Scanner),Black & White(Small size)(Scanner),Black & White(Large size)(Scanner),Full ColorTotal(Scanner),Full Color(Small size)(Scanner),Full Color(Large size)(Scanner)
[DR16000027],411,39,15,20,322,414,8
[AM16000222],37,15,15,0,22,22,0
[BF16000026],3,0,0,0,3,3,0
[BA16000042],77,12,12,0,65,61,4
[BK16000033],5,4,4,0,1,1,0
[SM16000090],4,0,0,0,4,2,2
[HS16000067],1528,356,304,52,1172,924,248
[AM16000043],30,11,11,0,19,15,4
[AM16000047],15,4,4,0,11,9,2
[BJ16000354],6,6,6,0,0,0,0
[BA16000032],26,22,20,2,4,2,2
[BM16000242],2,0,0,0,2,2,0
[JB16000044],32,12,12,0,20,20,0
[ja16000052],9000,6,6,0,26,26,0
[JA16000052],43,22,22,0,21,21,0
[BF16000579],500,12,12,0,0,0,0
[YY16000086],8738,999,991,8,7739,7632,107
[GA16000215],317,24,24,0,293,288,5
[AY16000055],2212,39,31,8,2173,1918,255
[GW16000341],8,6,0,6,2,2,0
[KA16000564],756,0,0,0,756,423,333
[BM16000034],310,99,99,0,211,165,46
[DH16000344],4,4,4,0,0,0,0
[SI16000065],108,12,12,0,96,96,0
[HK16000205],1670,193,193,0,1477,1315,162
[SO16000139],24,0,0,0,24,24,0
[BM16000116],43,15,15,0,28,28,0
[BS04049459],1290,184,147,37,1106,1079,27
[MA16000037],408,0,0,0,408,402,6
[GA16000076],292,229,228,1,63,63,0
[CA16000141],8,0,0,0,8,8,0
[KN16000046],26,3,3,0,23,23,0
[FD16000225],3,0,0,0,3,3,0
[ZO16000020],115,0,0,0,115,115,0
[TO16000324],403,18,18,0,385,371,14
[SW16000415],50,34,34,0,16,16,0
[BM16000326],2,2,2,0,0,0,0
[BS16000015],521,44,44,0,477,198,279
[bw16000238],2,1,1,0,1,1,0
[ga16000215],207,28,22,6,179,169,10
[AS16000013],98,7,7,0,91,87,4
[LA16000022],303,14,14,0,289,287,2
[NF16000211],6,0,0,0,6,6,0
[LR16000316],9,1,1,0,8,8,0
[AA16000130],2,2,2,0,0,0,0
[HA16000509],19,19,19,0,0,0,0
[KG16000010],4,0,0,0,4,0,4
[LS16000644],3,2,2,0,1,1,0
[BR16000300],2,2,2,0,0,0,0
[CM16000016],4,2,2,0,2,2,0
[BN16001218],105,104,104,0,1,1,0
[DA16000801],574,4,4,0,570,424,146
[BR16000124],8,1,1,0,7,7,0
[MM16000041],4,0,0,0,4,4,0
[TS16000616],1004,196,196,0,808,805,3
[AM16000322],390,0,0,0,390,385,5
[MM16000206],8,2,2,0,6,6,0
[CA04046846],2670,238,235,3,2432,2407,25
[HN16001376],5,2,2,0,3,3,0
[LS16000823],69,8,8,0,61,61,0
[MI04049744],4,1,1,0,3,3,0
[kd16001261],55,5,5,0,50,50,0
[GR16000673],5,5,5,0,0,0,0
[GM16000296],2,0,0,0,2,2,0
[MH16000135],23,23,4,19,0,0,0
[IT16000128],2,0,0,0,2,2,0
[HI16001373],361,56,56,0,305,248,57
[SG16000385],2,2,2,0,0,0,0
[DS16000153],3,0,0,0,3,3,0
[NS16000069],4,4,4,0,0,0,0
[AS16000293],10,3,3,0,7,7,0
[kf04150006],26,0,0,0,26,26,0
[CH16001309],11,0,0,0,11,11,0
[MA16000072],16,16,8,8,0,0,0
[am16000322],1,0,0,0,1,1,0
[LG16000315],2,0,0,0,2,2,0
[AR16000158],23,0,0,0,23,23,0
[BN16001363],29,6,6,0,23,23,0
[FI16001444],3,1,1,0,2,2,0
[BA16000636],81,0,0,0,81,81,0
[BS16001312],47,0,0,0,47,47,0
[BM16000917],121,0,0,0,121,121,0
[ZY16000154],8,2,2,0,6,6,0
[BH16000805],3,3,3,0,0,0,0
[AO16000328],50,2,2,0,48,48,0
[CA16000200],2,2,2,0,0,0,0
[JY16000465],8,8,8,0,0,0,0
[RM16001195],29,6,6,0,23,23,0
[DM16001219],3,3,3,0,0,0,0
[BM16001106],11,0,0,0,11,11,0
[RI16000167],1069,168,168,0,901,898,3
[FH16001149],8,8,8,0,0,0,0
[Ga16000215],3,0,0,0,3,3,0
[FM16000376],6,4,4,0,2,2,0
[BM16000323],18,0,0,0,18,18,0
[SS16001305],14,0,0,0,14,14,0
[lg16000315],13,0,0,0,13,13,0
[yy16000086],68,0,0,0,68,68,0
[HA16000425],19,0,0,0,19,19,0
[SM16000311],2,2,2,0,0,0,0
[GO16000089],3,0,0,0,3,1,2
[KS16001111],11,2,2,0,9,7,2
[TM16000401],318,46,46,0,272,270,2
[BS16000674],10,0,0,0,10,10,0
[BA16000186],146,4,4,0,142,140,2
[HR16001668],6,6,6,0,0,0,0
[LA16000064],8,4,4,0,4,4,0
[MI16000841],2,0,0,0,2,2,0
[AS16000201],1,0,0,0,1,1,0
[MW04106970],6,1,1,0,5,5,0
[AN16000021],24,0,0,0,24,24,0
